,room_type,accommodates,bedrooms,beds,host_response_rate,latitude,longitude,number_of_reviews,review_scores_rating,bath_size,bath_type,price_log
0,Entire home/apt,3,1.0,1.0,100,13.75983,100.54134,65,4.85,1.5,bath,7.552237287560802
1,Private room,2,1.0,1.0,100,13.76872,100.63338,0,0.0,1.0,bath,7.552237287560802
2,Private room,2,1.0,2.0,0,13.66818,100.61674,0,0.0,1.0,bath,7.182352111885263
3,Private room,2,1.0,1.0,0,13.75232,100.62402,0,0.0,1.0,bath,6.684611727667927
4,Private room,2,1.0,1.0,100,13.78823,100.57256,2,4.5,1.0,private bath,7.1592919047975645
5,Private room,2,1.0,2.0,78,13.7204,100.50757,4,2.5,1.0,private bath,6.551080335043404
6,Private room,2,1.0,1.0,0,13.68556,100.49535,1,5.0,1.0,bath,7.351158226430694
7,Entire home/apt,2,1.0,1.0,0,13.71516,100.56806,0,0.0,1.0,bath,7.24422751560335
8,Private room,2,1.0,1.0,100,13.71934,100.5176,27,4.77,1.0,private bath,7.047517221357296
9,Private room,3,1.0,1.0,0,13.9077,100.64473,0,0.0,1.0,bath,7.313220387090301
10,Private room,2,1.0,1.0,100,13.74444,100.57003,3,3.5,1.0,bath,8.236155661683124
11,Hotel room,2,1.0,1.0,100,13.71802,100.51539,208,4.79,1.0,private bath,7.529406457837013
12,Entire home/apt,3,1.0,2.0,0,13.7547,100.53268,0,0.0,2.0,bath,8.033334015880062
13,Private room,4,1.0,1.0,100,13.73292,100.46413,76,4.77,1.5,bath,7.639161171659173
14,Entire home/apt,2,1.0,1.0,0,13.77941,100.57383,3,2.5,1.0,bath,6.813444599510896
15,Entire home/apt,2,1.0,1.0,58,13.77931,100.54262,90,4.7,1.0,bath,7.24422751560335
16,Entire home/apt,3,1.0,1.0,100,13.69757,100.5288,19,4.76,1.0,bath,6.907755278982137
17,Entire home/apt,2,1.0,1.0,0,13.82925,100.56737,0,0.0,1.0,bath,7.2868764117507
18,Entire home/apt,3,1.0,1.0,0,13.81693,100.56433,10,4.5,1.0,bath,7.351158226430694
19,Entire home/apt,4,2.0,2.0,67,13.77486,100.54272,129,4.76,2.0,bath,7.545918151209323
20,Private room,2,1.0,1.0,0,13.79152,100.53982,0,0.0,1.0,bath,8.332308352219117
22,Entire home/apt,5,3.0,3.0,0,13.73378,100.56303,148,4.77,3.5,bath,8.644706511715198
